epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42546,1.28943,4.33938,1.42709,0.96871,0.25,0.34375,0.13687,1.53192,4.24551,1.74126,0,0,0
2,5.0542,1.46841,4.23995,1.5843,0.97841,0.25,0.36172,0.14656,1.38306,4.14998,1.63256,9.00001e-06,9.00001e-06,9.00001e-06
3,7.96121,1.32124,4.09886,1.52203,0.98482,0.25,0.42188,0.18059,1.35953,4.02085,1.59238,1.782e-05,1.782e-05,1.782e-05
4,10.5716,1.02406,3.81604,1.40589,0.98606,0.25,0.42738,0.23807,1.41195,3.92708,1.58407,2.64601e-05,2.64601e-05,2.64601e-05
5,13.1696,1.31323,3.19698,1.54369,0.97895,0.25,0.43563,0.31762,1.37821,3.78411,1.58838,3.49201e-05,3.49201e-05,3.49201e-05
6,15.6704,0.88657,2.6522,1.18721,0.54421,0.54167,0.51125,0.45763,1.23442,3.61206,1.51502,4.32002e-05,4.32002e-05,4.32002e-05
7,18.2182,1.19935,2.35044,1.27244,0.65115,0.52981,0.55542,0.46181,1.20029,4.43691,1.45053,5.13003e-05,5.13003e-05,5.13003e-05
8,20.8288,1.06758,1.7905,1.26402,0.38542,0.45833,0.52875,0.43541,1.14958,5.13183,1.40821,5.92204e-05,5.92204e-05,5.92204e-05
9,23.4173,0.96308,2.22664,1.25986,0.39704,0.45833,0.41035,0.3126,1.26626,5.11374,1.42514,6.69606e-05,6.69606e-05,6.69606e-05
10,26.0922,0.91611,1.71371,1.04704,0.36736,0.54731,0.34515,0.25077,1.23009,4.62553,1.35223,7.45207e-05,7.45207e-05,7.45207e-05
11,28.8989,0.8111,1.179,1.13829,0.23963,0.57175,0.34384,0.25294,1.25835,3.86171,1.38083,8.19009e-05,8.19009e-05,8.19009e-05
12,31.737,0.96998,1.29297,1.2622,0.79821,0.33333,0.3967,0.26463,1.21912,3.75514,1.36692,8.91011e-05,8.91011e-05,8.91011e-05
13,34.5798,0.99108,1.82486,1.48941,0.36966,0.66667,0.47396,0.35115,1.20162,3.59652,1.37855,9.61213e-05,9.61213e-05,9.61213e-05
14,37.4982,0.81315,1.14497,1.24814,0.72397,0.41486,0.46271,0.33275,1.12069,3.64707,1.32671,0.000102962,0.000102962,0.000102962
15,40.4578,0.82402,1.35756,1.18183,0.73936,0.41647,0.44546,0.32912,1.14164,3.80783,1.31252,0.000109622,0.000109622,0.000109622
16,43.3898,0.71101,1.18582,1.0748,0.71747,0.41667,0.4404,0.33007,1.1946,3.8737,1.3225,0.000116102,0.000116102,0.000116102
17,46.2705,0.79557,1.03096,1.09696,0.1213,0.55547,0.45994,0.33414,1.20563,4.34086,1.32841,0.000122402,0.000122402,0.000122402
18,49.102,0.73643,0.83852,1.14492,0.1213,0.55547,0.45994,0.33414,1.20563,4.34086,1.32841,0.000128523,0.000128523,0.000128523
19,52.0174,0.48449,0.8764,0.95218,0.5896,0.64083,0.58729,0.41015,1.15937,4.54142,1.32232,0.000134463,0.000134463,0.000134463
20,54.8038,0.55382,0.73214,0.98136,0.5896,0.64083,0.58729,0.41015,1.15937,4.54142,1.32232,0.000140223,0.000140223,0.000140223
21,57.6862,0.81045,1.23088,1.12608,0.57254,0.58333,0.48883,0.26937,1.2336,5.01532,1.40168,0.000145804,0.000145804,0.000145804
22,60.5195,0.74334,0.81151,1.19098,0.57254,0.58333,0.48883,0.26937,1.2336,5.01532,1.40168,0.000151204,0.000151204,0.000151204
23,63.3108,0.90883,1.54552,1.3308,0.56497,0.58333,0.40478,0.23383,1.35934,5.64505,1.47371,0.000156424,0.000156424,0.000156424
24,66.1336,0.69144,0.86519,0.98039,0.56497,0.58333,0.40478,0.23383,1.35934,5.64505,1.47371,0.000161465,0.000161465,0.000161465
25,68.9587,0.62152,0.87798,0.9805,0.56729,0.58333,0.40832,0.22067,1.5018,5.2715,1.58336,0.000166325,0.000166325,0.000166325
26,71.7613,0.99318,1.504,1.28351,0.56729,0.58333,0.40832,0.22067,1.5018,5.2715,1.58336,0.000171006,0.000171006,0.000171006
27,74.5262,0.69191,0.96883,1.05298,0.60511,0.58333,0.61115,0.38698,1.43425,3.74676,1.53548,0.000175506,0.000175506,0.000175506
